Nonhuman_gene_name,Human_gene_name,Organism
Abat,ABAT,Mouse
Abt1,ABT1,Mouse
Abcc1,ABCC1,Mouse
Ackr2,ACKR2,Mouse
Abhd3,ABHD3,Mouse
Abtb1,ABTB1,Mouse
Abcf1,ABCF1,Mouse
Abl1,ABL1,Mouse
Acta2,ACTA2,Mouse
Acer3,ACER3,Mouse
Abracl,ABRACL,Mouse
Abhd12b,ABHD12B,Mouse
Abo,ABO,Mouse
Abcd4,ABCD4,Mouse
Aars2,AARS2,Mouse
Actr8,ACTR8,Mouse
Acrv1,ACRV1,Mouse
Acp5,ACP5,Mouse
Acp6,ACP6,Mouse
Abcc5,ABCC5,Mouse
Actn3,ACTN3,Mouse
Aar2,AAR2,Mouse
Abcb5,ABCB5,Mouse
Abhd12,ABHD12,Mouse
Abcc6,ABCC6,Mouse
Abcg4,ABCG4,Mouse
Abcb4,ABCB4,Mouse
Abcb11,ABCB11,Mouse
Aco1,ACO1,Mouse
Abi3,ABI3,Mouse
Acadm,ACADM,Mouse
Actr3b,ACTR3B,Mouse
Abcb8,ABCB8,Mouse
Acbd7,ACBD7,Mouse
Abhd5,ABHD5,Mouse
Abcb7,ABCB7,Mouse
Actr5,ACTR5,Mouse
Abl2,ABL2,Mouse
Ackr1,ACKR1,Mouse
Acads,ACADS,Mouse
Ackr3,ACKR3,Mouse
Aamp,AAMP,Mouse
Aacs,AACS,Mouse
Abca3,ABCA3,Mouse
Aars,AARS,Mouse
Abhd15,ABHD15,Mouse
Acly,ACLY,Mouse
Ablim3,ABLIM3,Mouse
Actrt3,ACTRT3,Mouse
Actg1,ACTG1,Mouse
Abhd8,ABHD8,Mouse
Abhd14a,ABHD14A,Mouse
Abhd14b,ABHD14B,Mouse
Acot13,ACOT13,Mouse
Acsbg1,ACSBG1,Mouse
Acrbp,ACRBP,Mouse
Abhd2,ABHD2,Mouse
Abhd4,ABHD4,Mouse
Actl7b,ACTL7B,Mouse
Actl7a,ACTL7A,Mouse
Abca13,ABCA13,Mouse
Acox2,ACOX2,Mouse
Acod1,ACOD1,Mouse
Acot10,ACOT9,Mouse
Acot9,ACOT9,Mouse
Actr1a,ACTR1A,Mouse
Acacb,ACACB,Mouse
Aadacl3,AADACL3,Mouse
Aadacl4,AADACL4,Mouse
Gm13178,AADACL4,Mouse
9430007A20Rik,AADACL4,Mouse
Gm438,AADACL4,Mouse
Gm436,AADACL4,Mouse
Acss3,ACSS3,Mouse
Abi2,ABI2,Mouse
Acsl4,ACSL4,Mouse
Abcb10,ABCB10,Mouse
Aass,AASS,Mouse
Abcf2,ABCF2,Mouse
Abcd2,ABCD2,Mouse
Abcf3,ABCF3,Mouse
Abce1,ABCE1,Mouse
Abcb6,ABCB6,Mouse
Ammecr1l,AMMECR1L,Mouse
Adora3,ADORA3,Mouse
Aig1,AIG1,Mouse
Amdhd2,AMDHD2,Mouse
Adat2,ADAT2,Mouse
Adcy4,ADCY4,Mouse
Amhr2,AMHR2,Mouse
Alx1,ALX1,Mouse
Adamts4,ADAMTS4,Mouse
Agxt,AGXT,Mouse
Adam23,ADAM23,Mouse
Ankar,ANKAR,Mouse
Akt1s1,AKT1S1,Mouse
Ankrd13d,ANKRD13D,Mouse
Akt3,AKT3,Mouse
Adss,ADSS,Mouse
Angel2,ANGEL2,Mouse
Agfg1,AGFG1,Mouse
Ahnak,AHNAK,Mouse
Aldoa,ALDOA,Mouse
Aldoart1,ALDOA,Mouse
Aldoart2,ALDOA,Mouse
Adamts2,ADAMTS2,Mouse
Alg3,ALG3,Mouse
Agpat4,AGPAT4,Mouse
Acyp2,ACYP2,Mouse
Ak9,AK9,Mouse
Aldh7a1,ALDH7A1,Mouse
Adamts10,ADAMTS10,Mouse
Amotl2,AMOTL2,Mouse
Alg8,ALG8,Mouse
Aff1,AFF1,Mouse
Adad1,ADAD1,Mouse
Adgrb3,ADGRB3,Mouse
Aldh4a1,ALDH4A1,Mouse
Amacr,AMACR,Mouse
Adamtsl5,ADAMTSL5,Mouse
Aimp2,AIMP2,Mouse
Aif1,AIF1,Mouse
Adam33,ADAM33,Mouse
Angptl6,ANGPTL6,Mouse
Adora2a,ADORA2A,Mouse
Ak1,AK1,Mouse
Adgre5,ADGRE5,Mouse
Akap12,AKAP12,Mouse
Gm27027,ALKBH3,Mouse
Akap13,AKAP13,Mouse
Ambp,AMBP,Mouse
Adm,ADM,Mouse
Ankdd1b,ANKDD1B,Mouse
Adck1,ADCK1,Mouse
Alox15,ALOX15,Mouse
Amz1,AMZ1,Mouse
Alg12,ALG12,Mouse
Anapc13,ANAPC13,Mouse
Adamtsl3,ADAMTSL3,Mouse
Aldh8a1,ALDH8A1,Mouse
Adamts16,ADAMTS16,Mouse
Adamts6,ADAMTS6,Mouse
Agbl1,AGBL1,Mouse
Afmid,AFMID,Mouse
Ampd3,AMPD3,Mouse
Akap6,AKAP6,Mouse
Alg1,ALG1,Mouse
Alox5ap,ALOX5AP,Mouse
Adpgk,ADPGK,Mouse
Add3,ADD3,Mouse
Adhfe1,ADHFE1,Mouse
Akap2,AKAP2,Mouse
Pakap,AKAP2,Mouse
Ado,ADO,Mouse
Adgrf5,ADGRF5,Mouse
Akna,AKNA,Mouse
Aipl1,AIPL1,Mouse
Adcy3,ADCY3,Mouse
Akip1,AKIP1,Mouse
Adgrf1,ADGRF1,Mouse
Anapc15-ps,ANAPC15,Mouse
Adtrp,ADTRP,Mouse
Aifm3,AIFM3,Mouse
Afap1l2,AFAP1L2,Mouse
Amigo3,AMIGO3,Mouse
Alx4,ALX4,Mouse
Ager,AGER,Mouse
Alg11,ALG11,Mouse
Amtn,AMTN,Mouse
Agmat,AGMAT,Mouse
Ago2,AGO2,Mouse
Adam11,ADAM11,Mouse
Ankrd12,ANKRD12,Mouse
Ambn,AMBN,Mouse
Adra1a,ADRA1A,Mouse
Amt,AMT,Mouse
Agpat3,AGPAT3,Mouse
Angpt2,ANGPT2,Mouse
Alas1,ALAS1,Mouse
Adal,ADAL,Mouse
Amelx,AMELX,Mouse
Aen,AEN,Mouse
Alkbh7,ALKBH7,Mouse
Adap1,ADAP1,Mouse
Adgrf2,ADGRF2,Mouse
Adgrf4,ADGRF4,Mouse
Adsl,ADSL,Mouse
Aldh5a1,ALDH5A1,Mouse
Adprm,ADPRM,Mouse
Alkbh5,ALKBH5,Mouse
Adgre1,ADGRE1,Mouse
Adra1d,ADRA1D,Mouse
Agpat5,AGPAT5,Mouse
Adgrl3,ADGRL3,Mouse
Adgrb2,ADGRB2,Mouse
Adam9,ADAM9,Mouse
Adgrg2,ADGRG2,Mouse
Angel1,ANGEL1,Mouse
Ak3,AK3,Mouse
Adam28,ADAM28,Mouse
Adam7,ADAM7,Mouse
Adamdec1,ADAMDEC1,Mouse
Adat3,ADAT3,Mouse
Gm49322,ADAT3,Mouse
Ankle1,ANKLE1,Mouse
Amph,AMPH,Mouse
Aftph,AFTPH,Mouse
Aff4,AFF4,Mouse
Adprh,ADPRH,Mouse
Adamts20,ADAMTS20,Mouse
Ajap1,AJAP1,Mouse
Akt2,AKT2,Mouse
Aggf1,AGGF1,Mouse
Adcyap1,ADCYAP1,Mouse
Adgra3,ADGRA3,Mouse
Anapc2,ANAPC2,Mouse
Adam32,ADAM32,Mouse
Alox12b,ALOX12B,Mouse
Aldh1a2,ALDH1A2,Mouse
Aldh1a3,ALDH1A3,Mouse
Aloxe3,ALOXE3,Mouse
Gm21312,ALYREF,Mouse
Alyref2,ALYREF,Mouse
4931428L18Rik,ALYREF,Mouse
Gm20765,ALYREF,Mouse
AC153137.1,ALYREF,Mouse
Gm4340,ALYREF,Mouse
Gm4312,ALYREF,Mouse
Gm4305,ALYREF,Mouse
Gm4303,ALYREF,Mouse
Gm21293,ALYREF,Mouse
Gm8764,ALYREF,Mouse
Gm4301,ALYREF,Mouse
Gm6763,ALYREF,Mouse
Alyref,ALYREF,Mouse
Gm4302,ALYREF,Mouse
Gm4307,ALYREF,Mouse
Gm21304,ALYREF,Mouse
Ak7,AK7,Mouse
Agfg2,AGFG2,Mouse
Alpl,ALPL,Mouse
Adamts7,ADAMTS7,Mouse
Angptl2,ANGPTL2,Mouse
Ankrd10,ANKRD10,Mouse
Adcy2,ADCY2,Mouse
Adamts3,ADAMTS3,Mouse
Aldh3a2,ALDH3A2,Mouse
Afg3l2,AFG3L2,Mouse
Aldh6a1,ALDH6A1,Mouse
Ankrd13a,ANKRD13A,Mouse
Akr1b8,AKR1B10,Mouse
Akr1b10,AKR1B10,Mouse
Akr1b7,AKR1B10,Mouse
Ankk1,ANKK1,Mouse
Adam10,ADAM10,Mouse
Aldh1l1,ALDH1L1,Mouse
Ajuba,AJUBA,Mouse
Adnp2,ADNP2,Mouse
Adprhl1,ADPRHL1,Mouse
Alg6,ALG6,Mouse
Amd2,AMD1,Mouse
Amd1,AMD1,Mouse
Agpat2,AGPAT2,Mouse
Adra2a,ADRA2A,Mouse
Als2cl,ALS2CL,Mouse
Anapc7,ANAPC7,Mouse
Aicda,AICDA,Mouse
Amotl1,AMOTL1,Mouse
Alpk3,ALPK3,Mouse
Adamts19,ADAMTS19,Mouse
Alad,ALAD,Mouse
Adipor2,ADIPOR2,Mouse
Ankmy2,ANKMY2,Mouse
Agbl3,AGBL3,Mouse
Adcy8,ADCY8,Mouse
Amfr,AMFR,Mouse
Aknad1,AKNAD1,Mouse
Aes,AES,Mouse
Ahctf1,AHCTF1,Mouse
Agbl5,AGBL5,Mouse
Aire,AIRE,Mouse
Adamts13,ADAMTS13,Mouse
Adam22,ADAM22,Mouse
Adh5,ADH5,Mouse
Anapc4,ANAPC4,Mouse
Adssl1,ADSSL1,Mouse
Adra1b,ADRA1B,Mouse
Agrp,AGRP,Mouse
Adh4,ADH4,Mouse
Adgrb1,ADGRB1,Mouse
Agbl2,AGBL2,Mouse
Akt1,AKT1,Mouse
Agr2,AGR2,Mouse
Ankef1,ANKEF1,Mouse
Adcy5,ADCY5,Mouse
Adora2b,ADORA2B,Mouse
Amz2,AMZ2,Mouse
Aldh1b1,ALDH1B1,Mouse
Amot,AMOT,Mouse
Agr3,AGR3,Mouse
Alox12,ALOX12,Mouse
Ahr,AHR,Mouse
Adam18,ADAM18,Mouse
Ankrd11,ANKRD11,Mouse
Aldh3a1,ALDH3A1,Mouse
Adat1,ADAT1,Mouse
Amigo2,AMIGO2,Mouse
Agtr2,AGTR2,Mouse
Ahnak2,AHNAK2,Mouse
Adamtsl2,ADAMTSL2,Mouse
Adamts1,ADAMTS1,Mouse
Adamts5,ADAMTS5,Mouse
Alb,ALB,Mouse
Ak8,AK8,Mouse
Aldh18a1,ALDH18A1,Mouse
Aldh2,ALDH2,Mouse
Amer1,AMER1,Mouse
Adh7,ADH7,Mouse
Akr1d1,AKR1D1,Mouse
Alms1,ALMS1,Mouse
Aff3,AFF3,Mouse
Adgrg7,ADGRG7,Mouse
Angpt1,ANGPT1,Mouse
Aktip,AKTIP,Mouse
Aebp1,AEBP1,Mouse
Anapc1,ANAPC1,Mouse
Adam29,ADAM29,Mouse
Adgra2,ADGRA2,Mouse
Amn1,AMN1,Mouse
Akap10,AKAP10,Mouse
Ak2,AK2,Mouse
Alg14,ALG14,Mouse
Adam30,ADAM30,Mouse
Adamts18,ADAMTS18,Mouse
Ada,ADA,Mouse
Adam2,ADAM2,Mouse
Aldh1a1,ALDH1A1,Mouse
Aldh1a7,ALDH1A1,Mouse
Adgrg5,ADGRG5,Mouse
Ak4,AK4,Mouse
Afp,AFP,Mouse
Adrb2,ADRB2,Mouse
Aifm1,AIFM1,Mouse
Ankdd1a,ANKDD1A,Mouse
Alcam,ALCAM,Mouse
Add1,ADD1,Mouse
Afm,AFM,Mouse
Amer2,AMER2,Mouse
Agrn,AGRN,Mouse
Amigo1,AMIGO1,Mouse
Adrb3,ADRB3,Mouse
Ampd2,AMPD2,Mouse
Adamts8,ADAMTS8,Mouse
Alg2,ALG2,Mouse
Aifm2,AIFM2,Mouse
Adamtsl4,ADAMTSL4,Mouse
Adamts15,ADAMTS15,Mouse
Adgrl4,ADGRL4,Mouse
Ahi1,AHI1,Mouse
Adad2,ADAD2,Mouse
Aldh16a1,ALDH16A1,Mouse
Adrm1,ADRM1,Mouse
Gm9774,ADRM1,Mouse
Akap8l,AKAP8L,Mouse
Alpk1,ALPK1,Mouse
Akap8,AKAP8,Mouse
Akap4,AKAP4,Mouse
Ankrd13c,ANKRD13C,Mouse
Akap5,AKAP5,Mouse
Aga,AGA,Mouse
Acy3,ACY3,Mouse
Akain1,AKAIN1,Mouse
Aldh3b3,ALDH3B2,Mouse
Aldh3b2,ALDH3B2,Mouse
Adgrl2,ADGRL2,Mouse
Alpk2,ALPK2,Mouse
Anapc16,ANAPC16,Mouse
Akirin1,AKIRIN1,Mouse
Afap1,AFAP1,Mouse
Adcy7,ADCY7,Mouse
Ago4,AGO4,Mouse
Adamts14,ADAMTS14,Mouse
Akap9,AKAP9,Mouse
Ago1,AGO1,Mouse
Adgrv1,ADGRV1,Mouse
Adcyap1r1,ADCYAP1R1,Mouse
Agap2,AGAP2,Mouse
Ago3,AGO3,Mouse
Angptl4,ANGPTL4,Mouse
Alas2,ALAS2,Mouse
Ankib1,ANKIB1,Mouse
Akap14,AKAP14,Mouse
Aebp2,AEBP2,Mouse
Aldh3b1,ALDH3B1,Mouse
Angptl3,ANGPTL3,Mouse
Akr1a1,AKR1A1,Mouse
Adcy9,ADCY9,Mouse
Amh,AMH,Mouse
Akap3,AKAP3,Mouse
Adgrf3,ADGRF3,Mouse
Ang2,ANG,Mouse
Ang5,ANG,Mouse
Ang,ANG,Mouse
Ang6,ANG,Mouse
Ang4,ANG,Mouse
Adck5,ADCK5,Mouse
Ahdc1,AHDC1,Mouse
Ankrd16,ANKRD16,Mouse
Adm2,ADM2,Mouse
Akap7,AKAP7,Mouse
Adprhl2,ADPRHL2,Mouse
Adgrg4,ADGRG4,Mouse
Aldob,ALDOB,Mouse
Ank1,ANK1,Mouse
Adgra1,ADGRA1,Mouse
Ampd1,AMPD1,Mouse
Akap11,AKAP11,Mouse
Add2,ADD2,Mouse
Adi1,ADI1,Mouse
Adgrg1,ADGRG1,Mouse
Adar,ADAR,Mouse
Adnp,ADNP,Mouse
Ahsg,AHSG,Mouse
Alkbh6,ALKBH6,Mouse
Adam8,ADAM8,Mouse
Ankra2,ANKRA2,Mouse
Agtpbp1,AGTPBP1,Mouse
Agbl4,AGBL4,Mouse
Adck2,ADCK2,Mouse
Angptl7,ANGPTL7,Mouse
Akap1,AKAP1,Mouse
Agl,AGL,Mouse
Adcy1,ADCY1,Mouse
Angptl8,ANGPTL8,Mouse
Agps,AGPS,Mouse
Als2cr12,ALS2CR12,Mouse
Aip,AIP,Mouse
Allc,ALLC,Mouse
Aif1l,AIF1L,Mouse
Ank2,ANK2,Mouse
Aldoc,ALDOC,Mouse
Adig,ADIG,Mouse
Alg10b,ALG10B,Mouse
Aim2,AIM2,Mouse
Angptl1,ANGPTL1,Mouse
Ahcyl1,AHCYL1,Mouse
Adk,ADK,Mouse
Alx3,ALX3,Mouse
Ahsa1,AHSA1,Mouse
Adipor1,ADIPOR1,Mouse
Adra2b,ADRA2B,Mouse
Aldh9a1,ALDH9A1,Mouse
Aldh1l2,ALDH1L2,Mouse
Alkbh4,ALKBH4,Mouse
Agk,AGK,Mouse
Adgrg3,ADGRG3,Mouse
Agap1,AGAP1,Mouse
Adora1,ADORA1,Mouse
Adipoq,ADIPOQ,Mouse
Amn,AMN,Mouse
Als2,ALS2,Mouse
Ankrd13b,ANKRD13B,Mouse
Adam17,ADAM17,Mouse
Adrb1,ADRB1,Mouse
Adgrl1,ADGRL1,Mouse
Ahrr,AHRR,Mouse
Ankrd1,ANKRD1,Mouse
Adgb,ADGB,Mouse
Gm4737,AHCY,Mouse
Ahcy,AHCY,Mouse
Afap1l1,AFAP1L1,Mouse
Agxt2,AGXT2,Mouse
Ankfy1,ANKFY1,Mouse
Adap2,ADAP2,Mouse
Angpt4,ANGPT4,Mouse
Akirin2,AKIRIN2,Mouse
Ank3,ANK3,Mouse
AC115631.1,ANKHD1,Mouse
Ankhd1,ANKHD1,Mouse
Adarb1,ADARB1,Mouse
Acy1,ACY1,Mouse
Adamtsl1,ADAMTSL1,Mouse
Adarb2,ADARB2,Mouse
Acyp1,ACYP1,Mouse
Adam21,ADAM21,Mouse
Adam20,ADAM20,Mouse
Adam39,ADAM20,Mouse
Adam25,ADAM20,Mouse
Adamts9,ADAMTS9,Mouse
Alg5,ALG5,Mouse
Agpat1,AGPAT1,Mouse
Adamts12,ADAMTS12,Mouse
Aff2,AFF2,Mouse
Adgrg6,ADGRG6,Mouse
Alkbh2,ALKBH2,Mouse
Ankle2,ANKLE2,Mouse
Ammecr1,AMMECR1,Mouse
Ankmy1,ANKMY1,Mouse
Aimp1,AIMP1,Mouse
Alk,ALK,Mouse
Ahcyl2,AHCYL2,Mouse
Alkbh8,ALKBH8,Mouse
Anapc5,ANAPC5,Mouse
Agt,AGT,Mouse
Alg9,ALG9,Mouse
Akp3,ALPI,Mouse
Alpi,ALPI,Mouse
Alppl2,ALPI,Mouse
Alkbh1,ALKBH1,Mouse
Adgrd1,ADGRD1,Mouse
Agmo,AGMO,Mouse
Agtrap,AGTRAP,Mouse
Anapc10,ANAPC10,Mouse
Adam12,ADAM12,Mouse
Adamts17,ADAMTS17,Mouse
Ak5,AK5,Mouse
Amer3,AMER3,Mouse
Ambra1,AMBRA1,Mouse
Alox5,ALOX5,Mouse
Amdhd1,AMDHD1,Mouse
Adam15,ADAM15,Mouse
Adra2c,ADRA2C,Mouse
Aida,AIDA,Mouse
Adcy6,ADCY6,Mouse
Adcy10,ADCY10,Mouse
Agap3,AGAP3,Mouse
Apobec4,APOBEC4,Mouse
Arhgap30,ARHGAP30,Mouse
Arpc5,ARPC5,Mouse
Arid4b,ARID4B,Mouse
Ankrd39,ANKRD39,Mouse
Ankrd23,ANKRD23,Mouse
Gm42417,ANKRD23,Mouse
Ap2a1,AP2A1,Mouse
Arhgap5,ARHGAP5,Mouse
Ankrd34a,ANKRD34A,Mouse
Anxa7,ANXA7,Mouse
Aox1,AOX1,Mouse
Antxr2,ANTXR2,Mouse
Asic4,ASIC4,Mouse
Apoa2,APOA2,Mouse
Ano4,ANO4,Mouse
Ankrd45,ANKRD45,Mouse
Apool,APOOL,Mouse
Arl1,ARL1,Mouse
Armc7,ARMC7,Mouse
Gm28551,ASNSD1,Mouse
Asnsd1,ASNSD1,Mouse
Ano7,ANO7,Mouse
Asphd1,ASPHD1,Mouse
Aplf,APLF,Mouse
Atf5,ATF5,Mouse
Arl6ip4,ARL6IP4,Mouse
Ap1s3,AP1S3,Mouse
Atf2,ATF2,Mouse
Arhgap25,ARHGAP25,Mouse
Arhgef11,ARHGEF11,Mouse
Atf3,ATF3,Mouse
Antxr1,ANTXR1,Mouse
Asrgl1,ASRGL1,Mouse
Arfrp1,ARFRP1,Mouse
Araf,ARAF,Mouse
Anxa4,ANXA4,Mouse
Arcn1,ARCN1,Mouse
Asb7,ASB7,Mouse
Asb10,ASB10,Mouse
Ash1l,ASH1L,Mouse
Asph,ASPH,Mouse
Aoah,AOAH,Mouse
Arglu1,ARGLU1,Mouse
Apod,APOD,Mouse
Ankrd61,ANKRD61,Mouse
Arhgap44,ARHGAP44,Mouse
Apeh,APEH,Mouse
Arf4,ARF4,Mouse
Arap3,ARAP3,Mouse
Arl3,ARL3,Mouse
Atf4,ATF4,Mouse
Arhgef39,ARHGEF39,Mouse
Ankrd2,ANKRD2,Mouse
Arl16,ARL16,Mouse
Arl14ep,ARL14EP,Mouse
Arhgef37,ARHGEF37,Mouse
Arrb1,ARRB1,Mouse
Arpp19,ARPP19,Mouse
Arhgef1,ARHGEF1,Mouse
Ankrd6,ANKRD6,Mouse
Apol6,APOL6,Mouse
Appbp2,APPBP2,Mouse
Aptx,APTX,Mouse
Arhgap24,ARHGAP24,Mouse
Arid5b,ARID5B,Mouse
As3mt,AS3MT,Mouse
Apoa5,APOA5,Mouse
Apoa4,APOA4,Mouse
Arntl,ARNTL,Mouse
Apoc3,APOC3,Mouse
Arl8b,ARL8B,Mouse
Ankrd66,ANKRD66,Mouse
Arhgap23,ARHGAP23,Mouse
Ankrd29,ANKRD29,Mouse
Anp32a,ANP32A,Mouse
Ankrd31,ANKRD31,Mouse
Arsk,ARSK,Mouse
Ankrd33b,ANKRD33B,Mouse
Anxa8,ANXA8,Mouse
Apoa1,APOA1,Mouse
Asah2,ASAH2,Mouse
Arpc5l,ARPC5L,Mouse
Arl6ip1,ARL6IP1,Mouse
Apom,APOM,Mouse
Anks4b,ANKS4B,Mouse
Armt1,ARMT1,Mouse
Arrb2,ARRB2,Mouse
Arfgef2,ARFGEF2,Mouse
Arvcf,ARVCF,Mouse
Ascl3,ASCL3,Mouse
Arpc4,ARPC4,Mouse
Asb6,ASB6,Mouse
Ap5m1,AP5M1,Mouse
Armc6,ARMC6,Mouse
Ap5s1,AP5S1,Mouse
Arhgap42,ARHGAP42,Mouse
Artn,ARTN,Mouse
Asah1,ASAH1,Mouse
Ankrd50,ANKRD50,Mouse
Ap5z1,AP5Z1,Mouse
Arhgdig,ARHGDIG,Mouse
Arhgap45,ARHGAP45,Mouse
Arx,ARX,Mouse
Asna1,ASNA1,Mouse
Art5,ART5,Mouse
Art1,ART1,Mouse
Apc,APC,Mouse
Aqp4,AQP4,Mouse
Arhgap17,ARHGAP17,Mouse
Arhgap6,ARHGAP6,Mouse
Ascc2,ASCC2,Mouse
Arfip1,ARFIP1,Mouse
Gm37240,ARFIP1,Mouse
Anxa5,ANXA5,Mouse
Arsi,ARSI,Mouse
Arhgap11a,ARHGAP11A,Mouse
Armc8,ARMC8,Mouse
Ankrd27,ANKRD27,Mouse
Ankrd55,ANKRD55,Mouse
Atf6b,ATF6B,Mouse
Arhgdia,ARHGDIA,Mouse
Ap2b1,AP2B1,Mouse
Anp32b,ANP32B,Mouse
Armc4,ARMC4,Mouse
Aqr,AQR,Mouse
Ano1,ANO1,Mouse
Arfgap1,ARFGAP1,Mouse
Apoh,APOH,Mouse
Arl14,ARL14,Mouse
Apba3,APBA3,Mouse
Arhgap26,ARHGAP26,Mouse
Aqp7,AQP7,Mouse
Arrdc2,ARRDC2,Mouse
Aqp8,AQP8,Mouse
Apob,APOB,Mouse
Apc2,APC2,Mouse
Aqp3,AQP3,Mouse
Armc3,ARMC3,Mouse
Ap1g2,AP1G2,Mouse
Atf1,ATF1,Mouse
Arl9,ARL9,Mouse
App,APP,Mouse
Arl5b,ARL5B,Mouse
Arrdc5,ARRDC5,Mouse
Arhgef18,ARHGEF18,Mouse
Asb16,ASB16,Mouse
Aqp9,AQP9,Mouse
Arhgap22,ARHGAP22,Mouse
